scenario,iteration,latency_ms
tendermint/1-node,57,0.6228
tendermint/1-node,58,0.6796
tendermint/1-node,59,0.5067
tendermint/1-node,60,0.5445
tendermint/1-node,61,0.4774
tendermint/1-node,62,0.6916
tendermint/1-node,63,0.7640
tendermint/1-node,64,1.0075
tendermint/1-node,65,0.9373
tendermint/1-node,66,0.7472
tendermint/1-node,67,0.5296
tendermint/1-node,68,0.7407
tendermint/1-node,69,0.6424
tendermint/1-node,70,0.6215
tendermint/1-node,71,0.5535
tendermint/1-node,72,0.5747
tendermint/1-node,73,0.5448
tendermint/1-node,74,0.4705
tendermint/1-node,75,0.6205
tendermint/1-node,76,1.9908
tendermint/1-node,77,1.0465
tendermint/1-node,78,0.6052
tendermint/1-node,79,0.6320
tendermint/1-node,80,0.5817
tendermint/1-node,81,0.4381
tendermint/1-node,82,0.5649
tendermint/1-node,83,0.6345
tendermint/1-node,84,0.4820
tendermint/1-node,85,0.9307
tendermint/1-node,86,1.1670
tendermint/1-node,87,0.4860
tendermint/1-node,88,0.6383
tendermint/1-node,89,0.5882
tendermint/1-node,90,1.2540
tendermint/1-node,91,1.0775
tendermint/1-node,92,0.9323
tendermint/1-node,93,1.3141
tendermint/1-node,94,2.3377
tendermint/1-node,95,1.1079
tendermint/1-node,96,0.6723
tendermint/1-node,97,0.6092
tendermint/1-node,98,0.5222
tendermint/1-node,99,2.3524
tendermint/1-node,100,0.8420
tendermint/1-node,101,0.5162
tendermint/1-node,102,0.5987
tendermint/1-node,103,1.3531
tendermint/1-node,104,1.0001
tendermint/1-node,105,0.4980
tendermint/1-node,106,0.4174
tendermint/1-node,107,0.5279
tendermint/1-node,108,3.2681
tendermint/1-node,109,2.1750
tendermint/1-node,110,1.9464
tendermint/1-node,111,1.3894
tendermint/1-node,112,0.5847
tendermint/1-node,113,0.8053
tendermint/1-node,114,0.6476
tendermint/1-node,115,0.5930
tendermint/1-node,116,0.8310
tendermint/1-node,117,0.8194
tendermint/1-node,118,0.6583
tendermint/1-node,119,0.6210
tendermint/1-node,120,0.4815
tendermint/1-node,121,0.5819
tendermint/1-node,122,0.4655
tendermint/1-node,123,0.4995
tendermint/1-node,124,0.5089
tendermint/1-node,125,0.4685
tendermint/1-node,126,0.5936
tendermint/1-node,127,0.6565
tendermint/1-node,128,1.0037
tendermint/1-node,129,0.6485
tendermint/1-node,130,0.8312
tendermint/1-node,131,0.4835
tendermint/1-node,132,0.9515
tendermint/1-node,133,1.4044
tendermint/1-node,134,0.5090
tendermint/1-node,135,0.5057
tendermint/1-node,136,0.4740
tendermint/1-node,137,0.5591
tendermint/1-node,138,0.5983
tendermint/1-node,139,0.5409
tendermint/1-node,140,0.4884
tendermint/1-node,141,0.6351
tendermint/1-node,142,0.8631
tendermint/1-node,143,0.6413
tendermint/1-node,144,0.5505
tendermint/1-node,145,0.4293
tendermint/1-node,146,0.4897
tendermint/1-node,147,0.5015
tendermint/1-node,148,0.4504
tendermint/1-node,149,0.5836
tendermint/1-node,150,0.4378
tendermint/1-node,151,0.8693
tendermint/1-node,152,0.8892
tendermint/1-node,153,0.5807
tendermint/1-node,154,0.5275
tendermint/1-node,155,0.4993
tendermint/1-node,156,0.4733
tendermint/1-node,157,0.4955
tendermint/1-node,158,1.6916
tendermint/1-node,159,1.3029
tendermint/1-node,160,1.1434
tendermint/1-node,161,0.8994
tendermint/1-node,162,0.7687
tendermint/1-node,163,0.5267
tendermint/1-node,164,0.5714
tendermint/1-node,165,0.5173
tendermint/1-node,166,0.4482
tendermint/1-node,167,0.4720
tendermint/1-node,168,0.7418
tendermint/1-node,169,0.5292
tendermint/1-node,170,0.5841
tendermint/1-node,171,0.5554
tendermint/1-node,172,0.6678
tendermint/1-node,173,2.1993
tendermint/1-node,174,2.3068
tendermint/1-node,175,0.9585
tendermint/1-node,176,2.6060
tendermint/1-node,177,1.4973
tendermint/1-node,178,1.1030
tendermint/1-node,179,0.8435
tendermint/1-node,180,1.0939
tendermint/1-node,181,1.8951
tendermint/1-node,182,1.4014
tendermint/1-node,183,1.8228
tendermint/1-node,184,0.8468
tendermint/1-node,185,0.6252
tendermint/1-node,186,0.5277
tendermint/1-node,187,0.5232
tendermint/1-node,188,0.7006
tendermint/1-node,189,0.5245
tendermint/1-node,190,0.4723
tendermint/1-node,191,2.2530
tendermint/1-node,192,0.4458
tendermint/1-node,193,0.7421
tendermint/1-node,194,0.5254
tendermint/1-node,195,0.5653
tendermint/1-node,196,0.4928
tendermint/1-node,197,0.5980
tendermint/1-node,198,0.4765
tendermint/1-node,199,0.4711
